Title,Link,Price,Information,Image,Model,Year,Drive,Exterior Color,Interior Color,Registration,Ownership,Fuel type
21 more photos,https://youdrivemecrazy.in/listings/jaguar-xj-50/,"₹3 ,500 ,000",2018 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-5.46.36-PM-280x151.jpeg,Jaguar XJ 50,2018,50000 Km,Loire blue,Quilted Ivory white,HP Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/porsche-cayenne-3-0-v6/,"₹7 ,200 ,000",2019 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2026/01/WhatsApp-Image-2026-01-03-at-4.01.52-PM-2-280x156.jpeg,Porsche Cayenne 3.0 V6,2019,53000 Km,Biskay blue metallic,Beige,HP Registered,First Owner,
21 more photos,https://youdrivemecrazy.in/listings/volvo-v90-cross-country-d5/,"₹2 ,500 ,000",2019 Volvo,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-30-at-2.30.24-PM-280x189.jpeg,V90 Cross Country D5,2019,78000 Km,Crystal White,Amber Brown,DL Registered,First Owner,Diesel
22 more photos,https://youdrivemecrazy.in/listings/lexus-nx300/,"₹2 ,500 ,000",2018 Lexus,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-4.45.42-PM-1-280x202.jpeg,LEXUS NX300,2018,"1,37000 Km",Sonic Quartz,,HR Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/ford-mustang-gt-5-0-v8/,"₹7 ,500 ,000",2017 Ford,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-29-at-1.27.14-PM-3-280x134.jpeg,FORD MUSTANG GT 5.0 V8,2017,27000 Km,Magnetic Grey Metallic,Black,HP Registered,First Owner,
16 more photos,https://youdrivemecrazy.in/listings/porsche-panamera-4-10-years-edition/,"₹9 ,900 ,000",2020 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-21-at-1.01.42-PM-280x153.jpeg,PORSCHE PANAMERA 4,2020,11000 km,Jet Black Metallic,,HP Registered,First Owner,Petrol Car
14 more photos,https://youdrivemecrazy.in/listings/audi-rs5-facelift-4-2-na-v8-quattro/,"₹4 ,500 ,000",2013 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-20-at-5.26.07-PM-2-280x145.jpeg,Audi RS5 Facelift 4.2 NA V8 | Quattro,2013,42000 Km,Sepang Blue,Black,,,
12 more photos,https://youdrivemecrazy.in/listings/facelift-titanium-2-0-4x4/,"₹2 ,700 ,000",2021 FORD ENDEAVOUR,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-5.08.46-PM-2-280x193.jpeg,FACELIFT | TITANIUM 2.0 | 4x4,2021,"1,30,000 Kms",Diamond White,Beige Leather,DL Registered,First Owner,
19 more photos,https://youdrivemecrazy.in/listings/bmw-330i-gt-m-sport/,"₹2 ,550 ,000",2019 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-15-at-12.23.39-PM-3-280x163.jpeg,330i GT M Sport,2019,"92,000 km",Estoril Blue,Black,HR Registered,First Owner,
22 more photos,https://youdrivemecrazy.in/listings/porsche-cayenne/,"₹3 ,650 ,000",2013 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-10-at-4.51.17-PM-2-280x210.jpeg,Porsche Cayenne,2013,72000 Km,Moonlight Blue Metallic,Slate Grey,HR Registered,First Owner,Petrol Car
24 more photos,https://youdrivemecrazy.in/listings/range-rover-sport-hse-facelift/,"₹5 ,800 ,000",2018 Range Rover,https://youdrivemecrazy.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-07-at-1.41.21-PM-2-280x162.jpeg,SPORT HSE (Facelift),2018,38000 Km,Fuji white,Beige,HR Registered,2nd Owner,
33 more photos,https://youdrivemecrazy.in/listings/rolls-royce-ghost-series-ii-xz42/,"₹39 ,100 ,000",2017 Rolls royce,https://youdrivemecrazy.in/wp-content/uploads/2025/11/IMG-20251103-WA0066-280x204.jpg,GHOST SERIES II XZ42,2017,58000 Km,Madeira RED,Seashell white,DL Registered,First Owner,Petrol Car
25 more photos,https://youdrivemecrazy.in/listings/bmw-m2-shadow-line/,"₹10 ,500 ,000",2024 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/11/IMG-20251103-WA0030-280x161.jpg,Bmw M2 Shadow line,2024,8000 Km,Black Sapphire,Ambient interior light,,First Owner,
24 more photos,https://youdrivemecrazy.in/listings/porsche-panamera-bs6/,"₹11 ,500 ,000",2020 Porsche,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251028-WA0108-280x159.jpg,Porsche Panamera Bs6,2020,11000 km,Jet Black Metallic,,HP Registered,First Owner,
15 more photos,https://youdrivemecrazy.in/listings/z4-m40i-convertible/,"₹9 ,200 ,000",2024 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251028-WA0061-280x170.jpg,Z4 M40i Convertible,2024,4000 Km,Black Sapphire Etallic,,HP Registered,First Owner,
19 more photos,https://youdrivemecrazy.in/listings/mercedes-cla-200-sport-%e2%9a%a1/,"₹2 ,400 ,000",2019 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251025-WA0082-280x202.jpg,Mercedes CLA 200 Sport ⚡,2019,30000 Km,Grey,Beige,OD Registered,2nd Owner,
21 more photos,https://youdrivemecrazy.in/listings/mercedes-benz-glc-43-amg-coupe/,"₹3 ,950 ,000",2018 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251025-WA0032-280x189.jpg,MERCEDES-BENZ GLC 43 AMG COUPE,2018,60000 Km,Obsidian Black,,GJ Registered,2nd Owner,
25 more photos,https://youdrivemecrazy.in/listings/jeep-wrangler-rubicon-2-0l/,"₹6 ,900 ,000",2025 Jeep,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251023-WA0071-280x210.jpg,Jeep Wrangler Rubicon 2.0L,2025,11000 km,Bright White,Custom Tan,HR Registered,First Owner,
15 more photos,https://youdrivemecrazy.in/listings/jaguar-xk-r-2/,"₹4 ,500 ,000",2012 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2025/10/IMG-20251004-WA0025-280x157.jpg,Jaguar XK-R,2012,"39,000 km",Emerald green peelable,,CH Registered,First Owner,
23 more photos,https://youdrivemecrazy.in/listings/a6-45-tfsi-technology/,"₹3 ,550 ,000",2020 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250928-WA0020-280x150.jpg,A6 45 TFSI Technology,2020,30000 Km,Mythos Black Metallic,Beige,HP Registered,First Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/cooper-s-first-lot-cbu/,"₹2 ,250 ,000",2016 Mini,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250923-WA0058-280x183.jpg,Cooper S First lot CBU,2016,62000 Km,,,JH Registered,2nd Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/nx300-hybrid-2/,"₹2 ,950 ,000",2018 Lexus,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250923-WA0026-280x200.jpg,NX300 Hybrid,2018,70000 Km,,,DL Registered,2nd Owner,
19 more photos,https://youdrivemecrazy.in/listings/x4-30i-msport-lci/,"₹6 ,100 ,002",2022 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250919-WA0099-280x183.jpg,X4 30i Msport LCI,2022,22000 Km,Carbon Black Metallic,,MH Registered,First Owner,Petrol Car
24 more photos,https://youdrivemecrazy.in/listings/e200-lwb-amg-line/,"₹6 ,650 ,000",2023 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250921-WA0031-1-280x159.jpg,E200 LWB Amg line,2023,8000 Km,Obsidian Black,Beige,CH Registered,First Owner,Petrol Car
24 more photos,https://youdrivemecrazy.in/listings/q7-technology-40-tfsi/,"₹4 ,150 ,000",2018 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250918-WA0048-280x149.jpg,Q7 Technology 40 TFSI,2018,45000 Km,Galaxy blue,Beige,HR Registered,2nd Owner,
19 more photos,https://youdrivemecrazy.in/listings/xe-p250-se-top-variant/,"₹3 ,150 ,000",2020 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250917-WA0065-280x188.jpg,XE P250 SE (Top Variant),2020,34000 Km,Caldera Red,,HP Registered,First Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/coopers-jcw-tuned-convertible/,"₹3 ,100 ,000",2018 Mini,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250914-WA0078-280x196.jpg,CooperS JCW tuned Convertible,2018,53000 Km,Deep blue metallic,,JH Registered,2nd Owner,
15 more photos,https://youdrivemecrazy.in/listings/a6-35-tfsi/,"₹1 ,775 ,000",2017 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250905-WA0033-280x182.jpg,A6 35 TFSI,2017,40000 Km,IBIS White,Beige,HR Registered,First Owner,Petrol Car
19 more photos,https://youdrivemecrazy.in/listings/mercedes-benz-glc-200/,"₹5 ,100 ,000",2022 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/09/IMG-20250829-WA0007-280x192.jpg,GLC 200,2022,15000 Km,Cavan-site blue,,HR Registered,First Owner,Petrol Car
22 more photos,https://youdrivemecrazy.in/listings/x5-40i-msport-lci/,"₹9 ,900 ,000",2024 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250329-WA0057-280x185.jpg,X5 40i Msport LCI,2024,16000 Km,Mineral White,Tartufo,DD Registered,First Owner,
15 more photos,https://youdrivemecrazy.in/listings/a6-s-line-matrix/,"₹2 ,150 ,000",2017 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250820-WA0041-280x187.jpg,A6 S LINE MATRIX,2017,63000 Km,IBIS White,,HR Registered,First Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/c-class-c200-2/,"₹5 ,300 ,000",2024 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250821-WA0081-280x184.jpg,C CLASS C200,2024,18000 Km,High Tech Silver,Black,DL Registered,,
23 more photos,https://youdrivemecrazy.in/listings/xc90-b6-ultimate-hybrid/,"₹7 ,500 ,000",2024 Volvo,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250814-WA0020-280x206.jpg,XC90 B6 Ultimate Hybrid,2024,"39,000 km",Crystal white pearl,,HR Registered,First Owner,
24 more photos,https://youdrivemecrazy.in/listings/q7-55-tfsi/,"₹6 ,600 ,002",2022 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250808-WA0019-280x193.jpg,Q7 55 TFSI,2022,36000 Km,Cararra White,OKAPI BROWN,JK Registered,First Owner,
15 more photos,https://youdrivemecrazy.in/listings/x3-30i-msport-xdrive/,"₹5 ,150 ,000",2022 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/08/IMG-20250807-WA0052-280x185.jpg,X3 30i Msport Xdrive,2022,34000 Km,Mineral White,,GJ Registered,First Owner,
21 more photos,https://youdrivemecrazy.in/listings/f-pace-2-0l-prestigetop/,"₹3 ,200 ,000",2018 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250729-WA0016-280x191.jpg,F Pace 2.0L Prestige(Top),2018,59000 Km,Caesium Blue,Beige,HR Registered,2nd Owner,
24 more photos,https://youdrivemecrazy.in/listings/q5-45-tfsi-2/,"₹4 ,999 ,000",2024 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250722-WA0015-280x200.jpg,Q5 45 TFSI,2024,37000 Km,Glacier white metallic,,HR Registered,First Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/tiguan-2-0l-tdi-highlineat/,"₹1 ,475 ,000",2017 Volkswagen,https://youdrivemecrazy.in/wp-content/uploads/2025/07/IMG-20250720-WA0012-280x195.jpg,Tiguan 2.0L TDI-HIGHLINE(AT),2017,78000 Km,Oryx white,,DL Registered,2nd Owner,Diesel
15 more photos,https://youdrivemecrazy.in/listings/330i-msport/,"₹3 ,950 ,000",2022 BMW,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0095-280x196.jpg,330i Msport,2022,17000 Km,Portimao Blue,Mocha,UP Registered,First Owner,Petrol Car
15 more photos,https://youdrivemecrazy.in/listings/cla-45amg/,"₹2 ,975 ,000",2018 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0395-280x161.jpg,CLA 45AMG,2018,40000 Km,Cirrus White,,DL Registered,2nd Owner,
25 more photos,https://youdrivemecrazy.in/listings/mercedes-amg-a45-s/,"₹7 ,900 ,000",2022 Mercedes,https://youdrivemecrazy.in/wp-content/uploads/2025/06/IMG-20250627-WA0163-280x166.jpg,A45 S,2022,"26,000 Km",Designo Patagonia Red Metallic,,DD Registered,First Owner,
21 more photos,https://youdrivemecrazy.in/listings/facelift-push-button/,"₹2 ,500 ,000",,https://youdrivemecrazy.in/wp-content/uploads/2025/04/IMG-20250422-WA0115-280x195.jpg,,2020,80000 Km,White,Beige,HR Registered,2nd Owner,Diesel
25 more photos,https://youdrivemecrazy.in/listings/jaguar-xj-l/,"₹4 ,600 ,000",2017 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2025/04/IMG-20250422-WA0002-280x178.jpg,XJ-L,2017,55000 Km,French Racing Blue,,HP Registered,First Owner,Petrol Car
27 more photos,https://youdrivemecrazy.in/listings/rs5-facelift-4-2-v8/,"₹5 ,100 ,000",2013 Audi,https://youdrivemecrazy.in/wp-content/uploads/2025/01/WhatsApp-Image-2025-01-11-at-19.22.29_5c476199-280x151.jpg,RS5 Facelift,2013,42000 Km,Sepang Blue,Black,PY Registered,3rd Owner,
14 more photos,https://youdrivemecrazy.in/listings/jaguar-xk-r/,"₹4 ,500 ,000",2012 Jaguar,https://youdrivemecrazy.in/wp-content/uploads/2024/12/WhatsApp-Image-2024-11-29-at-9.37.28-AM-280x160.jpeg,XK-R,2012,38000 Km,,,CH Registered,First Owner,
24 more photos,https://youdrivemecrazy.in/listings/s-jcw-tuned/,"₹3 ,500 ,000",2018 cooper,https://youdrivemecrazy.in/wp-content/uploads/2024/11/WhatsApp-Image-2024-11-17-at-5.21.40-PM-280x186.jpeg,S JCW Tuned,2018,35000 Km,Midnight Black Metal,Black,HP Registered,First Owner,
2 more photos,https://youdrivemecrazy.in/listings/range-rover-sport-2018/,"₹5 ,800 ,000",2018 Range Rover,https://youdrivemecrazy.in/wp-content/uploads/2024/10/Range-Rover-1-280x200.png,Sport,2018,37000 Km,Fuji white,Beige,HR Registered,2nd Owner,
